cluster_num	sid	gene_i	all_genes_i	gene_j	all_genes_j	subtype	chr_i	pos_i	strand_i	chr_j	pos_j	strand_j	pval	qval	prob	num_hits
3	TCGA-24-2289-01A	AXL	"AXL	HNRNPUL1	C19orf54	EGLN2	SNRPA	BLVRB	CYP2F1	SERTAD3	CYP2A7	CYP2A6	NUMBL	MIA-RAB4B	RAB4B-EGLN2	CYP2T1P	CYP2G1P	CYP2B7P	CYP2B6	MIA	COQ8B	ITPKC	CYP2S1	CYP2A13	LTBP4	RAB4B	SPTBN4	SHKBP1"	KLK2*	"KLK2*	KLK10	C19orf48	LRRC4B	CD33	KLK14	KLK12	KLK5	KLK6	GPR32	SIGLEC7	KLK15	KLK11	KLK13	SIGLECL1	C19orf81	KLK3	SIGLEC9	SYT3	SNAR-F	SNORD88B	SNORD88A	SNORD88C	LINC01869	LOC105372441	KLKP1	LOC101928517	SIGLEC17P	MIR8074	LINC01872	KLK7	KLK8	KLK9	KLK4	KLK1	CLEC11A	IGLON5	VSIG10L	ACP4	LOC105372440	CTU1	SHANK1	(ETFB)"	TCGA-OV	19	40772298	+	19	50545254	+	5.4e-07	0.00084	2.32368714078081e-06	5
3	TCGA-25-2398-01A	AXL	"AXL	HNRNPUL1	C19orf54	EGLN2	SNRPA	BLVRB	CYP2F1	SERTAD3	CYP2A7	CYP2A6	NUMBL	MIA-RAB4B	RAB4B-EGLN2	CYP2T1P	CYP2G1P	CYP2B7P	CYP2B6	MIA	COQ8B	ITPKC	CYP2S1	CYP2A13	LTBP4	RAB4B	SPTBN4	SHKBP1"	KLK2*	"KLK2*	KLK10	C19orf48	LRRC4B	CD33	KLK14	KLK12	KLK5	KLK6	GPR32	SIGLEC7	KLK15	KLK11	KLK13	SIGLECL1	C19orf81	KLK3	SIGLEC9	SYT3	SNAR-F	SNORD88B	SNORD88A	SNORD88C	LINC01869	LOC105372441	KLKP1	LOC101928517	SIGLEC17P	MIR8074	LINC01872	KLK7	KLK8	KLK9	KLK4	KLK1	CLEC11A	IGLON5	VSIG10L	ACP4	LOC105372440	CTU1	SHANK1	(ETFB)"	TCGA-OV	19	41268531	-	19	51206373	+	5.4e-07	0.00084	2.32368714078081e-06	5
3	TCGA-29-1701-01A	AXL	"AXL	HNRNPUL1	C19orf54	EGLN2	SNRPA	BLVRB	CYP2F1	SERTAD3	CYP2A7	CYP2A6	NUMBL	MIA-RAB4B	RAB4B-EGLN2	CYP2T1P	CYP2G1P	CYP2B7P	CYP2B6	MIA	COQ8B	ITPKC	CYP2S1	CYP2A13	LTBP4	RAB4B	SPTBN4	SHKBP1"	KLK2*	"KLK2*	KLK10	C19orf48	LRRC4B	CD33	KLK14	KLK12	KLK5	KLK6	GPR32	SIGLEC7	KLK15	KLK11	KLK13	SIGLECL1	C19orf81	KLK3	SIGLEC9	SYT3	SNAR-F	SNORD88B	SNORD88A	SNORD88C	LINC01869	LOC105372441	KLKP1	LOC101928517	SIGLEC17P	MIR8074	LINC01872	KLK7	KLK8	KLK9	KLK4	KLK1	CLEC11A	IGLON5	VSIG10L	ACP4	LOC105372440	CTU1	SHANK1	(ETFB)"	TCGA-OV	19	40700064	+	19	51063936	-	5.4e-07	0.00084	2.32368714078081e-06	5
4	TCGA-13-0757-01A	CCNE1*	"CCNE1*	URI1	VSTM2B	C19orf12	POP4	LOC284395	PLEKHF1"	LSM14A*	"LSM14A*"	TCGA-OV	19	30123964	+	19	34210435	+	8.5e-07	0.0013	7.24425215164574e-06	5
4	TCGA-13-0888-01A	CCNE1*	"CCNE1*	URI1	VSTM2B	C19orf12	POP4	LOC284395	PLEKHF1"	LSM14A*	"LSM14A*"	TCGA-OV	19	29738031	+	19	33913596	-	8.5e-07	0.0013	7.24425215164574e-06	5
4	TCGA-25-1877-01A	CCNE1*	"CCNE1*	URI1	VSTM2B	C19orf12	POP4	LOC284395	PLEKHF1"	LSM14A*	"LSM14A*"	TCGA-OV	19	29753352	-	19	33962830	-	8.5e-07	0.0013	7.24425215164574e-06	5
4	TCGA-29-1698-01A	CCNE1*	"CCNE1*	URI1	VSTM2B	C19orf12	POP4	LOC284395	PLEKHF1"	LSM14A*	"LSM14A*"	TCGA-OV	19	30126112	-	19	33917329	-	8.5e-07	0.0013	7.24425215164574e-06	5
4	TCGA-30-1855-01A	CCNE1*	"CCNE1*	URI1	VSTM2B	C19orf12	POP4	LOC284395	PLEKHF1"	LSM14A*	"LSM14A*"	TCGA-OV	19	29445789	-	19	34100900	+	8.5e-07	0.0013	7.24425215164574e-06	5
5	TCGA-13-1407-01A	RBM23	"RBM23	PRMT5	PRMT5-AS1	LOC101926933	MIR4707	LRP10	HAUS4	REM2	(AJUBA)"	FOXG1	"FOXG1	FOXG1-AS1	LINC02282	LINC01551"	TCGA-OV	14	22891999	-	14	28177837	+	9e-07	0.0014	1.51094182550604e-06	4
5	TCGA-24-1920-01A	RBM23	"RBM23	PRMT5	PRMT5-AS1	LOC101926933	MIR4707	LRP10	HAUS4	REM2	(AJUBA)"	FOXG1	"FOXG1	FOXG1-AS1	LINC02282	LINC01551"	TCGA-OV	14	22909014	-	14	28859178	+	9e-07	0.0014	1.51094182550604e-06	4
5	TCGA-25-1633-01A	RBM23	"RBM23	PRMT5	PRMT5-AS1	LOC101926933	MIR4707	LRP10	HAUS4	REM2	(AJUBA)"	FOXG1	"FOXG1	FOXG1-AS1	LINC02282	LINC01551"	TCGA-OV	14	22962436	+	14	28678588	-	9e-07	0.0014	1.51094182550604e-06	4
5	TCGA-36-1571-01A	RBM23	"RBM23	PRMT5	PRMT5-AS1	LOC101926933	MIR4707	LRP10	HAUS4	REM2	(AJUBA)"	FOXG1	"FOXG1	FOXG1-AS1	LINC02282	LINC01551"	TCGA-OV	14	22871577	-	14	28283862	-	9e-07	0.0014	1.51094182550604e-06	4
5	TCGA-36-1571-01A	RBM23	"RBM23	PRMT5	PRMT5-AS1	LOC101926933	MIR4707	LRP10	HAUS4	REM2	(AJUBA)"	FOXG1	"FOXG1	FOXG1-AS1	LINC02282	LINC01551"	TCGA-OV	14	22962436	+	14	28678588	-	9e-07	0.0014	1.51094182550604e-06	4
6	TCGA-09-2053-01C	HMGA1*	"HMGA1*	RPS10	PACSIN1	SPDEF	SNRPC	ILRUN	SMIM29	UHRF1BP1	MIR6835	RPS10-NUDT3	LOC101929243	NUDT3	(GRM4)"	GLO1	"GLO1	BTBD9	DNAH8	BTBD9-AS1	DNAH8-AS1"	TCGA-OV	6	34598678	-	6	38622312	+	1.6e-05	0.021	2.03127911075304e-06	4
6	TCGA-13-1410-01A	HMGA1*	"HMGA1*	RPS10	PACSIN1	SPDEF	SNRPC	ILRUN	SMIM29	UHRF1BP1	MIR6835	RPS10-NUDT3	LOC101929243	NUDT3	(GRM4)"	GLO1	"GLO1	BTBD9	DNAH8	BTBD9-AS1	DNAH8-AS1"	TCGA-OV	6	34162765	-	6	38229257	+	1.6e-05	0.021	2.03127911075304e-06	4
6	TCGA-24-1435-01A	HMGA1*	"HMGA1*	RPS10	PACSIN1	SPDEF	SNRPC	ILRUN	SMIM29	UHRF1BP1	MIR6835	RPS10-NUDT3	LOC101929243	NUDT3	(GRM4)"	GLO1	"GLO1	BTBD9	DNAH8	BTBD9-AS1	DNAH8-AS1"	TCGA-OV	6	34828610	+	6	38861519	-	1.6e-05	0.021	2.03127911075304e-06	4
6	TCGA-24-1435-01A	HMGA1*	"HMGA1*	RPS10	PACSIN1	SPDEF	SNRPC	ILRUN	SMIM29	UHRF1BP1	MIR6835	RPS10-NUDT3	LOC101929243	NUDT3	(GRM4)"	GLO1	"GLO1	BTBD9	DNAH8	BTBD9-AS1	DNAH8-AS1"	TCGA-OV	6	34870585	+	6	38863369	+	1.6e-05	0.021	2.03127911075304e-06	4
6	TCGA-24-1435-01A	HMGA1*	"HMGA1*	RPS10	PACSIN1	SPDEF	SNRPC	ILRUN	SMIM29	UHRF1BP1	MIR6835	RPS10-NUDT3	LOC101929243	NUDT3	(GRM4)"	GLO1	"GLO1	BTBD9	DNAH8	BTBD9-AS1	DNAH8-AS1"	TCGA-OV	6	34880180	-	6	38910949	-	1.6e-05	0.021	2.03127911075304e-06	4
6	TCGA-29-1691-01A	HMGA1*	"HMGA1*	RPS10	PACSIN1	SPDEF	SNRPC	ILRUN	SMIM29	UHRF1BP1	MIR6835	RPS10-NUDT3	LOC101929243	NUDT3	(GRM4)"	GLO1	"GLO1	BTBD9	DNAH8	BTBD9-AS1	DNAH8-AS1"	TCGA-OV	6	34524724	+	6	38990378	+	1.6e-05	0.021	2.03127911075304e-06	4
7	TCGA-13-0891-01A	KAT6B*	"KAT6B*	DUSP13	LOC101929165	SNORD172	ZNF503-AS1	ZNF503-AS2	ZNF503	VDAC2	DUSP29	SAMD8	COMTD1	(LOC101929234)"	ZMIZ1-AS1	"ZMIZ1-AS1"	TCGA-OV	10	75115438	-	10	78631485	+	1.7e-05	0.021	3.72654102902829e-06	4
7	TCGA-13-0920-01A	KAT6B*	"KAT6B*	DUSP13	LOC101929165	SNORD172	ZNF503-AS1	ZNF503-AS2	ZNF503	VDAC2	DUSP29	SAMD8	COMTD1	(LOC101929234)"	ZMIZ1-AS1	"ZMIZ1-AS1"	TCGA-OV	10	74778445	-	10	78882891	+	1.7e-05	0.021	3.72654102902829e-06	4
7	TCGA-24-1553-01A	KAT6B*	"KAT6B*	DUSP13	LOC101929165	SNORD172	ZNF503-AS1	ZNF503-AS2	ZNF503	VDAC2	DUSP29	SAMD8	COMTD1	(LOC101929234)"	ZMIZ1-AS1	"ZMIZ1-AS1"	TCGA-OV	10	74740029	-	10	78944731	+	1.7e-05	0.021	3.72654102902829e-06	4
7	TCGA-30-1867-01A	KAT6B*	"KAT6B*	DUSP13	LOC101929165	SNORD172	ZNF503-AS1	ZNF503-AS2	ZNF503	VDAC2	DUSP29	SAMD8	COMTD1	(LOC101929234)"	ZMIZ1-AS1	"ZMIZ1-AS1"	TCGA-OV	10	75403040	-	10	78946888	-	1.7e-05	0.021	3.72654102902829e-06	4
8	TCGA-04-1332-01A	FGFR1*	"FGFR1*	NSD3*	TACC1	LETM2	RNF5P1	C8orf86	(PLPP5)"	POTEA	"POTEA"	TCGA-OV	8	38276920	+	8	43829262	-	1.8e-05	0.022	2.51388666503245e-06	4
8	TCGA-13-1487-01A	FGFR1*	"FGFR1*	NSD3*	TACC1	LETM2	RNF5P1	C8orf86	(PLPP5)"	POTEA	"POTEA"	TCGA-OV	8	38837000	+	8	43350690	-	1.8e-05	0.022	2.51388666503245e-06	4
8	TCGA-25-1633-01A	FGFR1*	"FGFR1*	NSD3*	TACC1	LETM2	RNF5P1	C8orf86	(PLPP5)"	POTEA	"POTEA"	TCGA-OV	8	38848555	+	8	43368602	+	1.8e-05	0.022	2.51388666503245e-06	4
8	TCGA-25-1633-01A	FGFR1*	"FGFR1*	NSD3*	TACC1	LETM2	RNF5P1	C8orf86	(PLPP5)"	POTEA	"POTEA"	TCGA-OV	8	38849251	+	8	43296617	-	1.8e-05	0.022	2.51388666503245e-06	4
8	TCGA-31-1951-01A	FGFR1*	"FGFR1*	NSD3*	TACC1	LETM2	RNF5P1	C8orf86	(PLPP5)"	POTEA	"POTEA"	TCGA-OV	8	38785010	-	8	43877138	-	1.8e-05	0.022	2.51388666503245e-06	4
9	TCGA-04-1364-01A	DNM2*	"DNM2*	KEAP1*	PPAN	MIR199A1	ICAM3	PDE4A	S1PR5	KRI1	FDX2	SLC44A2	DNMT1	P2RY11	C19orf38	MIR1238	CDKN2D	ATG4D	EIF3G	MRPL4	ICAM4	AP1M2	ZGLP1	SNORD105	SNORD105B	MIR4322	MIR4748	MIR6793	TMED1	S1PR2	ICAM1	PPAN-P2RY11	RAVER1	MIR1181	ICAM5	ILF3	CDC37	QTRT1	MIR638	TYK2	ILF3-DT	(ANGPTL6)"	BRD4*	"BRD4*	RASAL3	CYP4F8	CYP4F3	CYP4F2	PGLYRP2	OR10H5	MIR1470	CYP4F24P	AKAP8L	CYP4F12	CLEC4O	OR10H3	AKAP8	OR10H1	OR10H2	UCA1	WIZ	CYP4F22"	TCGA-OV	19	10107268	-	19	15897012	-	1.9e-05	0.024	5.96458221101308e-06	5
9	TCGA-09-1659-01B	DNM2*	"DNM2*	KEAP1*	PPAN	MIR199A1	ICAM3	PDE4A	S1PR5	KRI1	FDX2	SLC44A2	DNMT1	P2RY11	C19orf38	MIR1238	CDKN2D	ATG4D	EIF3G	MRPL4	ICAM4	AP1M2	ZGLP1	SNORD105	SNORD105B	MIR4322	MIR4748	MIR6793	TMED1	S1PR2	ICAM1	PPAN-P2RY11	RAVER1	MIR1181	ICAM5	ILF3	CDC37	QTRT1	MIR638	TYK2	ILF3-DT	(ANGPTL6)"	BRD4*	"BRD4*	RASAL3	CYP4F8	CYP4F3	CYP4F2	PGLYRP2	OR10H5	MIR1470	CYP4F24P	AKAP8L	CYP4F12	CLEC4O	OR10H3	AKAP8	OR10H1	OR10H2	UCA1	WIZ	CYP4F22"	TCGA-OV	19	10539826	-	19	15834231	+	1.9e-05	0.024	5.96458221101308e-06	5
9	TCGA-24-1920-01A	DNM2*	"DNM2*	KEAP1*	PPAN	MIR199A1	ICAM3	PDE4A	S1PR5	KRI1	FDX2	SLC44A2	DNMT1	P2RY11	C19orf38	MIR1238	CDKN2D	ATG4D	EIF3G	MRPL4	ICAM4	AP1M2	ZGLP1	SNORD105	SNORD105B	MIR4322	MIR4748	MIR6793	TMED1	S1PR2	ICAM1	PPAN-P2RY11	RAVER1	MIR1181	ICAM5	ILF3	CDC37	QTRT1	MIR638	TYK2	ILF3-DT	(ANGPTL6)"	BRD4*	"BRD4*	RASAL3	CYP4F8	CYP4F3	CYP4F2	PGLYRP2	OR10H5	MIR1470	CYP4F24P	AKAP8L	CYP4F12	CLEC4O	OR10H3	AKAP8	OR10H1	OR10H2	UCA1	WIZ	CYP4F22"	TCGA-OV	19	10855262	-	19	15392379	+	1.9e-05	0.024	5.96458221101308e-06	5
9	TCGA-24-2295-01A	DNM2*	"DNM2*	KEAP1*	PPAN	MIR199A1	ICAM3	PDE4A	S1PR5	KRI1	FDX2	SLC44A2	DNMT1	P2RY11	C19orf38	MIR1238	CDKN2D	ATG4D	EIF3G	MRPL4	ICAM4	AP1M2	ZGLP1	SNORD105	SNORD105B	MIR4322	MIR4748	MIR6793	TMED1	S1PR2	ICAM1	PPAN-P2RY11	RAVER1	MIR1181	ICAM5	ILF3	CDC37	QTRT1	MIR638	TYK2	ILF3-DT	(ANGPTL6)"	BRD4*	"BRD4*	RASAL3	CYP4F8	CYP4F3	CYP4F2	PGLYRP2	OR10H5	MIR1470	CYP4F24P	AKAP8L	CYP4F12	CLEC4O	OR10H3	AKAP8	OR10H1	OR10H2	UCA1	WIZ	CYP4F22"	TCGA-OV	19	10207156	-	19	15826882	+	1.9e-05	0.024	5.96458221101308e-06	5
9	TCGA-36-1581-01A	DNM2*	"DNM2*	KEAP1*	PPAN	MIR199A1	ICAM3	PDE4A	S1PR5	KRI1	FDX2	SLC44A2	DNMT1	P2RY11	C19orf38	MIR1238	CDKN2D	ATG4D	EIF3G	MRPL4	ICAM4	AP1M2	ZGLP1	SNORD105	SNORD105B	MIR4322	MIR4748	MIR6793	TMED1	S1PR2	ICAM1	PPAN-P2RY11	RAVER1	MIR1181	ICAM5	ILF3	CDC37	QTRT1	MIR638	TYK2	ILF3-DT	(ANGPTL6)"	BRD4*	"BRD4*	RASAL3	CYP4F8	CYP4F3	CYP4F2	PGLYRP2	OR10H5	MIR1470	CYP4F24P	AKAP8L	CYP4F12	CLEC4O	OR10H3	AKAP8	OR10H1	OR10H2	UCA1	WIZ	CYP4F22"	TCGA-OV	19	10660880	+	19	15322011	-	1.9e-05	0.024	5.96458221101308e-06	5
10	TCGA-13-0804-01A	SNAP25	"SNAP25	SNAP25-AS1"	CST2	"CST2	CST13P	CST8	CST3	CST11	CST9	CST9L	CST4	CST1	(CSTL1)"	TCGA-OV	20	10118184	-	20	23452463	-	2.9e-05	0.036	1.19474739120146e-06	3
10	TCGA-24-1463-01A	SNAP25	"SNAP25	SNAP25-AS1"	CST2	"CST2	CST13P	CST8	CST3	CST11	CST9	CST9L	CST4	CST1	(CSTL1)"	TCGA-OV	20	10389597	+	20	23672294	+	2.9e-05	0.036	1.19474739120146e-06	3
10	TCGA-24-1463-01A	SNAP25	"SNAP25	SNAP25-AS1"	CST2	"CST2	CST13P	CST8	CST3	CST11	CST9	CST9L	CST4	CST1	(CSTL1)"	TCGA-OV	20	10389663	-	20	23672294	+	2.9e-05	0.036	1.19474739120146e-06	3
10	TCGA-24-1928-01A	SNAP25	"SNAP25	SNAP25-AS1"	CST2	"CST2	CST13P	CST8	CST3	CST11	CST9	CST9L	CST4	CST1	(CSTL1)"	TCGA-OV	20	10110229	+	20	23842928	-	2.9e-05	0.036	1.19474739120146e-06	3
11	TCGA-13-0920-01A	(MIR4255)	"(MIR4255)"	SLFNL1-AS1	"SLFNL1-AS1	SCMH1	SLFNL1	CTPS1	MIR30C1	NFYC	KCNQ4	CITED4	MIR30E"	TCGA-OV	1	37333087	-	1	40954085	-	3e-05	0.036	1.34757834211067e-05	4
11	TCGA-20-0991-01A	(MIR4255)	"(MIR4255)"	SLFNL1-AS1	"SLFNL1-AS1	SCMH1	SLFNL1	CTPS1	MIR30C1	NFYC	KCNQ4	CITED4	MIR30E"	TCGA-OV	1	37301705	+	1	41154242	-	3e-05	0.036	1.34757834211067e-05	4
11	TCGA-24-1920-01A	(MIR4255)	"(MIR4255)"	SLFNL1-AS1	"SLFNL1-AS1	SCMH1	SLFNL1	CTPS1	MIR30C1	NFYC	KCNQ4	CITED4	MIR30E"	TCGA-OV	1	37229093	-	1	41153330	+	3e-05	0.036	1.34757834211067e-05	4
11	TCGA-42-2588-01A	(MIR4255)	"(MIR4255)"	SLFNL1-AS1	"SLFNL1-AS1	SCMH1	SLFNL1	CTPS1	MIR30C1	NFYC	KCNQ4	CITED4	MIR30E"	TCGA-OV	1	37291584	-	1	40752513	+	3e-05	0.036	1.34757834211067e-05	4
12	TCGA-09-1667-01C	ZNF567	"ZNF567	ZNF850	ZNF568	ZNF461	ZNF529-AS1	ZNF529	LINC01534	ZNF790-AS1	ZNF345	ZNF382	ZNF829	ZNF790	LOC728485	(ZNF420)"	KLK2*	"KLK2*	KLK10	C19orf48	CD33	KLK14	KLK12	NKG7	SIGLEC10	KLK5	KLK6	GPR32	SIGLEC7	KLK15	LIM2	KLK11	KLK13	SIGLECL1	KLK3	SIGLEC9	SNORD88B	SNORD88A	SNORD88C	LINC01869	LOC105372441	KLKP1	LOC101928517	SIGLEC17P	MIR8074	LINC01872	SIGLEC12	KLK7	KLK8	CLDND2	KLK9	SIGLEC8	KLK4	ETFB	C19orf84	KLK1	CEACAM18	CLEC11A	IGLON5	VSIG10L	ACP4	LOC105372440	CTU1	SHANK1	SIGLEC10-AS1"	TCGA-OV	19	36856649	+	19	51499405	-	3.5e-05	0.043	2.54020822416303e-06	4
12	TCGA-13-1496-01A	ZNF567	"ZNF567	ZNF850	ZNF568	ZNF461	ZNF529-AS1	ZNF529	LINC01534	ZNF790-AS1	ZNF345	ZNF382	ZNF829	ZNF790	LOC728485	(ZNF420)"	KLK2*	"KLK2*	KLK10	C19orf48	CD33	KLK14	KLK12	NKG7	SIGLEC10	KLK5	KLK6	GPR32	SIGLEC7	KLK15	LIM2	KLK11	KLK13	SIGLECL1	KLK3	SIGLEC9	SNORD88B	SNORD88A	SNORD88C	LINC01869	LOC105372441	KLKP1	LOC101928517	SIGLEC17P	MIR8074	LINC01872	SIGLEC12	KLK7	KLK8	CLDND2	KLK9	SIGLEC8	KLK4	ETFB	C19orf84	KLK1	CEACAM18	CLEC11A	IGLON5	VSIG10L	ACP4	LOC105372440	CTU1	SHANK1	SIGLEC10-AS1"	TCGA-OV	19	37071312	+	19	50677757	+	3.5e-05	0.043	2.54020822416303e-06	4
