cluster_num	sid	gene_i	all_genes_i	gene_j	all_genes_j	subtype	chr_i	pos_i	strand_i	chr_j	pos_j	strand_j	pval	prob	num_hits
2	TCGA-06-0750-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203888618	-	1	205055191	-	3.7e-08	0.00120253288550731	26
2	TCGA-06-1804-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204193127	-	1	205238817	+	3.7e-08	0.00120253288550731	26
2	TCGA-06-5415-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204655169	-	1	205460596	+	3.7e-08	0.00120253288550731	26
2	TCGA-06-6390-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204068876	-	1	205638033	+	3.7e-08	0.00120253288550731	26
2	TCGA-12-0692-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204579280	+	1	205271872	+	3.7e-08	0.00120253288550731	26
2	TCGA-12-0829-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203842830	-	1	205592650	+	3.7e-08	0.00120253288550731	26
2	TCGA-14-1459-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204293589	-	1	205483944	+	3.7e-08	0.00120253288550731	26
2	TCGA-16-0846-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203971173	-	1	205774380	+	3.7e-08	0.00120253288550731	26
2	TCGA-16-0846-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204587289	-	1	205598751	-	3.7e-08	0.00120253288550731	26
2	TCGA-19-1791-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203834755	-	1	204838556	+	3.7e-08	0.00120253288550731	26
2	TCGA-19-5954-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204384351	-	1	205152343	+	3.7e-08	0.00120253288550731	26
2	TCGA-27-1834-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204290576	-	1	204921074	+	3.7e-08	0.00120253288550731	26
2	TCGA-27-1834-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204568888	-	1	204916264	+	3.7e-08	0.00120253288550731	26
2	TCGA-28-1752-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204300720	-	1	204879264	+	3.7e-08	0.00120253288550731	26
2	TCGA-41-6646-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204322874	-	1	205141867	+	3.7e-08	0.00120253288550731	26
2	TCGA-06-0210-01B	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203308844	-	1	204888522	+	3.7e-08	0.000909811963201353	26
2	TCGA-06-0210-02A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203308707	+	1	204888214	-	3.7e-08	0.000909811963201353	26
2	TCGA-06-0210-02A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203308844	-	1	204888522	+	3.7e-08	0.000909811963201353	26
2	TCGA-06-0750-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203035375	+	1	205335885	+	3.7e-08	0.000909811963201353	26
2	TCGA-06-0750-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203035772	-	1	205054741	+	3.7e-08	0.000909811963201353	26
2	TCGA-06-5411-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203310163	-	1	205360582	+	3.7e-08	0.000909811963201353	26
2	TCGA-06-A6S0-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203468598	-	1	205363514	+	3.7e-08	0.000909811963201353	26
2	TCGA-06-A6S0-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203484258	+	1	205336505	-	3.7e-08	0.000909811963201353	26
2	TCGA-06-A6S0-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203502261	+	1	205294731	+	3.7e-08	0.000909811963201353	26
2	TCGA-06-A6S0-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	203502781	-	1	205295863	-	3.7e-08	0.000909811963201353	26
