cluster_num	sid	gene_i	all_genes_i	gene_j	all_genes_j	subtype	bin_i	chr_i	pos_i	strand_i	bin_j	chr_j	pos_j	strand_j	tile_qval	pval	prob	num_hits	stddev_i	stddev_j	tier
1	TCGA-T2-A6X2-01A	ZNF2	"ZNF2	KCNIP3	PROM2"	ARID5A	"ARID5A	CNNM4	CNNM3	ANKRD39	FAM178B	SEMA4C	KANSL3	LMAN2L	FER1L5	NEURL3	ANKRD23	MIR3127"	HNSC	109	2	95971427	-	112	2	97133836	-	0	0	2.76920084436489e-06	11	59157.3479599495	145245.108141939	tier 3
2	TCGA-BB-8596-01A	ZNF2	"ZNF2"	(SLC20A1)	"(SLC20A1)	(FLJ42351)"	HNSC	109	2	95846911	+	116	2	113393722	+	0	0	1.66314470273183e-06	4	60.8111831820431	1152.3591743318	tier 1
2	TCGA-CQ-6223-01A	ZNF2	"ZNF2"	(SLC20A1)	"(SLC20A1)	(FLJ42351)"	HNSC	109	2	95846868	+	116	2	113393726	+	0	0	1.66314470273183e-06	4	60.8111831820431	1152.3591743318	tier 1
2	TCGA-CV-7430-01A	ZNF2	"ZNF2"	(SLC20A1)	"(SLC20A1)	(FLJ42351)"	HNSC	109	2	95846782	-	116	2	113396034	-	0	0	1.66314470273183e-06	4	60.8111831820431	1152.3591743318	tier 1
2	TCGA-P3-A5Q5-01A	ZNF2	"ZNF2"	(SLC20A1)	"(SLC20A1)	(FLJ42351)"	HNSC	109	2	95846911	+	116	2	113393740	+	0	0	1.66314470273183e-06	4	60.8111831820431	1152.3591743318	tier 1
3	TCGA-C9-A47Z-01A	ITPR1	"ITPR1"	(LINC00971)	"(LINC00971)"	HNSC	219	3	4612064	+	242	3	84310959	+	0	0	7.08486883392641e-07	5	44.1622010321044	45.724173037902	tier 1
3	TCGA-CN-A6V3-01A	ITPR1	"ITPR1"	(LINC00971)	"(LINC00971)"	HNSC	219	3	4612157	+	242	3	84311058	+	0	0	7.08486883392641e-07	5	44.1622010321044	45.724173037902	tier 1
3	TCGA-D6-A6EK-01A	ITPR1	"ITPR1"	(LINC00971)	"(LINC00971)"	HNSC	219	3	4612164	+	242	3	84311055	+	0	0	7.08486883392641e-07	5	44.1622010321044	45.724173037902	tier 1
3	TCGA-H7-8502-01A	ITPR1	"ITPR1"	(LINC00971)	"(LINC00971)"	HNSC	219	3	4612173	+	242	3	84311074	+	0	0	7.08486883392641e-07	5	44.1622010321044	45.724173037902	tier 1
3	TCGA-H7-A6C4-01A	ITPR1	"ITPR1"	(LINC00971)	"(LINC00971)"	HNSC	219	3	4612149	+	242	3	84311050	+	0	0	7.08486883392641e-07	5	44.1622010321044	45.724173037902	tier 1
4	TCGA-BA-A6DJ-01A	SCN1A	"SCN1A	LOC102724058"	LINC01205	"LINC01205"	HNSC	153	2	166875627	+	264	3	109195341	+	0	0	9.87776079304115e-08	5	64.0562253024638	64.5306128903174	tier 1
4	TCGA-C9-A47Z-01A	SCN1A	"SCN1A	LOC102724058"	LINC01205	"LINC01205"	HNSC	153	2	166875651	+	264	3	109195365	+	0	0	9.87776079304115e-08	5	64.0562253024638	64.5306128903174	tier 1
4	TCGA-CN-A6V3-01A	SCN1A	"SCN1A	LOC102724058"	LINC01205	"LINC01205"	HNSC	153	2	166875755	+	264	3	109195470	+	0	0	9.87776079304115e-08	5	64.0562253024638	64.5306128903174	tier 1
4	TCGA-CQ-7071-01A	SCN1A	"SCN1A	LOC102724058"	LINC01205	"LINC01205"	HNSC	153	2	166875745	+	264	3	109195461	+	0	0	9.87776079304115e-08	5	64.0562253024638	64.5306128903174	tier 1
4	TCGA-F7-A61V-01A	SCN1A	"SCN1A	LOC102724058"	LINC01205	"LINC01205"	HNSC	153	2	166875763	+	264	3	109195477	+	0	0	9.87776079304115e-08	5	64.0562253024638	64.5306128903174	tier 1
5	TCGA-BA-6871-01A	TESK2	"TESK2	(CCDC163P)"	(LINC00501)	"(LINC00501)"	HNSC	13	1	45955376	+	308	3	176965957	+	0	0	1.21139730615706e-07	5	14.7918896696805	97.2537916998613	tier 1
5	TCGA-CQ-6223-01A	TESK2	"TESK2	(CCDC163P)"	(LINC00501)	"(LINC00501)"	HNSC	13	1	45955406	+	308	3	176965993	+	0	0	1.21139730615706e-07	5	14.7918896696805	97.2537916998613	tier 1
5	TCGA-CV-7434-01A	TESK2	"TESK2	(CCDC163P)"	(LINC00501)	"(LINC00501)"	HNSC	13	1	45955410	+	308	3	176966156	+	0	0	1.21139730615706e-07	5	14.7918896696805	97.2537916998613	tier 1
5	TCGA-P3-A6SX-01A	TESK2	"TESK2	(CCDC163P)"	(LINC00501)	"(LINC00501)"	HNSC	13	1	45955384	+	308	3	176966128	+	0	0	1.21139730615706e-07	5	14.7918896696805	97.2537916998613	tier 1
5	TCGA-UF-A7JV-01A	TESK2	"TESK2	(CCDC163P)"	(LINC00501)	"(LINC00501)"	HNSC	13	1	45955386	+	308	3	176966164	+	0	0	1.21139730615706e-07	5	14.7918896696805	97.2537916998613	tier 1
6	TCGA-CN-4727-01A	RSRC1	"RSRC1"	none	"none"	HNSC	291	3	157972127	-	450	5	18435605	+	0	0	1.13293698974487e-07	8	12.8062484748657	13.0466197045168	tier 1
6	TCGA-CN-A498-01A	RSRC1	"RSRC1"	none	"none"	HNSC	291	3	157972128	-	450	5	18435604	+	0	0	1.13293698974487e-07	8	12.8062484748657	13.0466197045168	tier 1
6	TCGA-CR-6491-01A	RSRC1	"RSRC1"	none	"none"	HNSC	291	3	157972100	-	450	5	18435631	+	0	0	1.13293698974487e-07	8	12.8062484748657	13.0466197045168	tier 1
6	TCGA-CR-7394-01A	RSRC1	"RSRC1"	none	"none"	HNSC	291	3	157972118	-	450	5	18435614	+	0	0	1.13293698974487e-07	8	12.8062484748657	13.0466197045168	tier 1
6	TCGA-CV-6936-01A	RSRC1	"RSRC1"	none	"none"	HNSC	291	3	157972114	-	450	5	18435617	+	0	0	1.13293698974487e-07	8	12.8062484748657	13.0466197045168	tier 1
6	TCGA-D6-6826-01A	RSRC1	"RSRC1"	none	"none"	HNSC	291	3	157972143	-	450	5	18435588	+	0	0	1.13293698974487e-07	8	12.8062484748657	13.0466197045168	tier 1
6	TCGA-IQ-A61I-01A	RSRC1	"RSRC1"	none	"none"	HNSC	291	3	157972125	-	450	5	18435620	+	0	0	1.13293698974487e-07	8	12.8062484748657	13.0466197045168	tier 1
6	TCGA-QK-A8Z8-01A	RSRC1	"RSRC1"	none	"none"	HNSC	291	3	157972113	-	450	5	18435619	+	0	0	1.13293698974487e-07	8	12.8062484748657	13.0466197045168	tier 1
7	TCGA-CN-A6V1-01A	(RP11-547I7.2)	"(RP11-547I7.2)"	FAM159B	"FAM159B	(SREK1IP1)"	HNSC	62	1	190499269	+	485	5	64008837	+	0	0	1.56170032129626e-07	7	25.5892462532511	36.9117351322881	tier 1
7	TCGA-CN-A6V6-01A	(RP11-547I7.2)	"(RP11-547I7.2)"	FAM159B	"FAM159B	(SREK1IP1)"	HNSC	62	1	190499230	+	485	5	64008798	+	0	0	1.56170032129626e-07	7	25.5892462532511	36.9117351322881	tier 1
7	TCGA-DQ-7588-01A	(RP11-547I7.2)	"(RP11-547I7.2)"	FAM159B	"FAM159B	(SREK1IP1)"	HNSC	62	1	190499307	+	485	5	64008908	+	0	0	1.56170032129626e-07	7	25.5892462532511	36.9117351322881	tier 1
7	TCGA-DQ-7593-01A	(RP11-547I7.2)	"(RP11-547I7.2)"	FAM159B	"FAM159B	(SREK1IP1)"	HNSC	62	1	190499261	+	485	5	64008840	+	0	0	1.56170032129626e-07	7	25.5892462532511	36.9117351322881	tier 1
7	TCGA-F7-A61W-01A	(RP11-547I7.2)	"(RP11-547I7.2)"	FAM159B	"FAM159B	(SREK1IP1)"	HNSC	62	1	190499241	+	485	5	64008809	+	0	0	1.56170032129626e-07	7	25.5892462532511	36.9117351322881	tier 1
7	TCGA-QK-AA3J-01A	(RP11-547I7.2)	"(RP11-547I7.2)"	FAM159B	"FAM159B	(SREK1IP1)"	HNSC	62	1	190499240	+	485	5	64008808	+	0	0	1.56170032129626e-07	7	25.5892462532511	36.9117351322881	tier 1
7	TCGA-UF-A71A-01A	(RP11-547I7.2)	"(RP11-547I7.2)"	FAM159B	"FAM159B	(SREK1IP1)"	HNSC	62	1	190499257	+	485	5	64008825	+	0	0	1.56170032129626e-07	7	25.5892462532511	36.9117351322881	tier 1
8	TCGA-C9-A47Z-01A	(FAT1)	"(FAT1)"	(LGSN)	"(LGSN)"	HNSC	434	4	187699486	-	527	6	63704023	+	0	0	2.01262722118402e-07	4	65.2501596422057	65.7419196555744	tier 1
8	TCGA-CN-A6V3-01A	(FAT1)	"(FAT1)"	(LGSN)	"(LGSN)"	HNSC	434	4	187699343	-	527	6	63704167	+	0	0	2.01262722118402e-07	4	65.2501596422057	65.7419196555744	tier 1
8	TCGA-IQ-A61L-01A	(FAT1)	"(FAT1)"	(LGSN)	"(LGSN)"	HNSC	434	4	187699372	-	527	6	63704138	+	0	0	2.01262722118402e-07	4	65.2501596422057	65.7419196555744	tier 1
8	TCGA-QK-A6IJ-01A	(FAT1)	"(FAT1)"	(LGSN)	"(LGSN)"	HNSC	434	4	187699358	-	527	6	63704152	+	0	0	2.01262722118402e-07	4	65.2501596422057	65.7419196555744	tier 1
9	TCGA-CR-7392-01A	RGS7	"RGS7"	(NT5E)	"(NT5E)"	HNSC	74	1	240955457	+	540	6	86113017	+	0	0	1.33675443243947e-07	5	91.7567436213819	228.212620159359	tier 1
9	TCGA-CV-7103-01A	RGS7	"RGS7"	(NT5E)	"(NT5E)"	HNSC	74	1	240955478	+	540	6	86113218	+	0	0	1.33675443243947e-07	5	91.7567436213819	228.212620159359	tier 1
9	TCGA-CV-7245-01A	RGS7	"RGS7"	(NT5E)	"(NT5E)"	HNSC	74	1	240955467	-	540	6	86112694	-	0	0	1.33675443243947e-07	5	91.7567436213819	228.212620159359	tier 1
9	TCGA-HD-A634-01A	RGS7	"RGS7"	(NT5E)	"(NT5E)"	HNSC	74	1	240955569	-	540	6	86112902	-	0	0	1.33675443243947e-07	5	91.7567436213819	228.212620159359	tier 1
9	TCGA-MT-A7BN-01A	RGS7	"RGS7"	(NT5E)	"(NT5E)"	HNSC	74	1	240955672	-	540	6	86112674	-	0	0	1.33675443243947e-07	5	91.7567436213819	228.212620159359	tier 1
10	TCGA-BA-5559-01A	PRDM5	"PRDM5"	(THEMIS)	"(THEMIS)"	HNSC	395	4	121742399	-	568	6	128005790	+	0	0	1.17122656131008e-07	7	20.4997096378972	61.4352155875253	tier 1
10	TCGA-BB-4217-01A	PRDM5	"PRDM5"	(THEMIS)	"(THEMIS)"	HNSC	395	4	121742360	-	568	6	128005972	+	0	0	1.17122656131008e-07	7	20.4997096378972	61.4352155875253	tier 1
10	TCGA-BB-7861-01A	PRDM5	"PRDM5"	(THEMIS)	"(THEMIS)"	HNSC	395	4	121742376	-	568	6	128005936	+	0	0	1.17122656131008e-07	7	20.4997096378972	61.4352155875253	tier 1
10	TCGA-CN-4729-01A	PRDM5	"PRDM5"	(THEMIS)	"(THEMIS)"	HNSC	395	4	121742345	-	568	6	128005955	+	0	0	1.17122656131008e-07	7	20.4997096378972	61.4352155875253	tier 1
10	TCGA-CV-A6JE-01A	PRDM5	"PRDM5"	(THEMIS)	"(THEMIS)"	HNSC	395	4	121742361	-	568	6	128005931	+	0	0	1.17122656131008e-07	7	20.4997096378972	61.4352155875253	tier 1
10	TCGA-CV-A6JZ-01A	PRDM5	"PRDM5"	(THEMIS)	"(THEMIS)"	HNSC	395	4	121742341	-	568	6	128005939	+	0	0	1.17122656131008e-07	7	20.4997096378972	61.4352155875253	tier 1
10	TCGA-UF-A718-01A	PRDM5	"PRDM5"	(THEMIS)	"(THEMIS)"	HNSC	395	4	121742347	-	568	6	128005956	+	0	0	1.17122656131008e-07	7	20.4997096378972	61.4352155875253	tier 1
11	TCGA-BA-A6D8-01A	(LOC100130849)	"(LOC100130849)"	(ZNF679)	"(ZNF679)	(ZNF736)"	HNSC	602	7	56838596	+	605	7	63738779	+	0	0	2.33917433875685e-06	8	237.283096442083	69.5161851657583	tier 1
11	TCGA-CN-A63U-01A	(LOC100130849)	"(LOC100130849)"	(ZNF679)	"(ZNF679)	(ZNF736)"	HNSC	602	7	56837882	-	605	7	63738684	-	0	0	2.33917433875685e-06	8	237.283096442083	69.5161851657583	tier 1
11	TCGA-CR-6472-01A	(LOC100130849)	"(LOC100130849)"	(ZNF679)	"(ZNF679)	(ZNF736)"	HNSC	602	7	56838454	+	605	7	63738745	+	0	0	2.33917433875685e-06	8	237.283096442083	69.5161851657583	tier 1
11	TCGA-CR-6477-01A	(LOC100130849)	"(LOC100130849)"	(ZNF679)	"(ZNF679)	(ZNF736)"	HNSC	602	7	56838612	+	605	7	63738724	+	0	0	2.33917433875685e-06	8	237.283096442083	69.5161851657583	tier 1
11	TCGA-CR-7383-01A	(LOC100130849)	"(LOC100130849)"	(ZNF679)	"(ZNF679)	(ZNF736)"	HNSC	602	7	56838443	+	605	7	63738724	+	0	0	2.33917433875685e-06	8	237.283096442083	69.5161851657583	tier 1
11	TCGA-CV-A465-01A	(LOC100130849)	"(LOC100130849)"	(ZNF679)	"(ZNF679)	(ZNF736)"	HNSC	602	7	56838498	+	605	7	63738825	+	0	0	2.33917433875685e-06	8	237.283096442083	69.5161851657583	tier 1
11	TCGA-F7-A61W-01A	(LOC100130849)	"(LOC100130849)"	(ZNF679)	"(ZNF679)	(ZNF736)"	HNSC	602	7	56838594	+	605	7	63738745	+	0	0	2.33917433875685e-06	8	237.283096442083	69.5161851657583	tier 1
11	TCGA-IQ-A61K-01A	(LOC100130849)	"(LOC100130849)"	(ZNF679)	"(ZNF679)	(ZNF736)"	HNSC	602	7	56838482	+	605	7	63738904	+	0	0	2.33917433875685e-06	8	237.283096442083	69.5161851657583	tier 1
12	TCGA-CN-5373-01A	(EPHA3)	"(EPHA3)"	WBSCR17	"WBSCR17"	HNSC	249	3	89067341	-	614	7	70999124	-	0	0	1.94378939450775e-07	4	24.5831920899897	24.9064917909635	tier 1
12	TCGA-DQ-7588-01A	(EPHA3)	"(EPHA3)"	WBSCR17	"WBSCR17"	HNSC	249	3	89067314	-	614	7	70999098	-	0	0	1.94378939450775e-07	4	24.5831920899897	24.9064917909635	tier 1
12	TCGA-IQ-A61L-01A	(EPHA3)	"(EPHA3)"	WBSCR17	"WBSCR17"	HNSC	249	3	89067364	-	614	7	70999149	-	0	0	1.94378939450775e-07	4	24.5831920899897	24.9064917909635	tier 1
12	TCGA-P3-A5QA-01A	(EPHA3)	"(EPHA3)"	WBSCR17	"WBSCR17"	HNSC	249	3	89067367	-	614	7	70999151	-	0	0	1.94378939450775e-07	4	24.5831920899897	24.9064917909635	tier 1
13	TCGA-BA-A6DE-01A	(PABPC1P2)	"(PABPC1P2)"	(STEAP4)	"(STEAP4)"	HNSC	138	2	147777642	+	622	7	88110789	+	0	0	1.53133983171495e-07	8	22.6017540406555	32.6296863081984	tier 1
13	TCGA-CN-4725-01A	(PABPC1P2)	"(PABPC1P2)"	(STEAP4)	"(STEAP4)"	HNSC	138	2	147777588	+	622	7	88110809	+	0	0	1.53133983171495e-07	8	22.6017540406555	32.6296863081984	tier 1
13	TCGA-CV-5976-01A	(PABPC1P2)	"(PABPC1P2)"	(STEAP4)	"(STEAP4)"	HNSC	138	2	147777601	+	622	7	88110822	+	0	0	1.53133983171495e-07	8	22.6017540406555	32.6296863081984	tier 1
13	TCGA-CV-7248-01A	(PABPC1P2)	"(PABPC1P2)"	(STEAP4)	"(STEAP4)"	HNSC	138	2	147777589	+	622	7	88110844	+	0	0	1.53133983171495e-07	8	22.6017540406555	32.6296863081984	tier 1
13	TCGA-HD-8635-01A	(PABPC1P2)	"(PABPC1P2)"	(STEAP4)	"(STEAP4)"	HNSC	138	2	147777630	+	622	7	88110863	+	0	0	1.53133983171495e-07	8	22.6017540406555	32.6296863081984	tier 1
13	TCGA-HD-A633-01A	(PABPC1P2)	"(PABPC1P2)"	(STEAP4)	"(STEAP4)"	HNSC	138	2	147777602	+	622	7	88110821	+	0	0	1.53133983171495e-07	8	22.6017540406555	32.6296863081984	tier 1
13	TCGA-P3-A6SX-01A	(PABPC1P2)	"(PABPC1P2)"	(STEAP4)	"(STEAP4)"	HNSC	138	2	147777602	+	622	7	88110759	+	0	0	1.53133983171495e-07	8	22.6017540406555	32.6296863081984	tier 1
13	TCGA-P3-A6T0-01A	(PABPC1P2)	"(PABPC1P2)"	(STEAP4)	"(STEAP4)"	HNSC	138	2	147777573	+	622	7	88110836	+	0	0	1.53133983171495e-07	8	22.6017540406555	32.6296863081984	tier 1
14	TCGA-BA-5149-01A	CNTNAP5	"CNTNAP5"	EIF3H	"EIF3H"	HNSC	121	2	125013346	+	741	8	117667693	+	0	0	1.59582283178107e-07	4	178.792943559489	347.822751795604	tier 1
14	TCGA-CR-7404-01A	CNTNAP5	"CNTNAP5"	EIF3H	"EIF3H"	HNSC	121	2	125013360	+	741	8	117667694	+	0	0	1.59582283178107e-07	4	178.792943559489	347.822751795604	tier 1
14	TCGA-D6-A74Q-01A	CNTNAP5	"CNTNAP5"	EIF3H	"EIF3H"	HNSC	121	2	125013731	-	741	8	117667122	-	0	0	1.59582283178107e-07	4	178.792943559489	347.822751795604	tier 1
14	TCGA-DQ-7588-01A	CNTNAP5	"CNTNAP5"	EIF3H	"EIF3H"	HNSC	121	2	125013452	-	741	8	117667063	-	0	0	1.59582283178107e-07	4	178.792943559489	347.822751795604	tier 1
15	TCGA-BA-5149-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433775	+	752	8	133313081	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-BA-6871-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433782	+	752	8	133313084	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-BA-A4II-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433788	+	752	8	133313112	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-CN-4729-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433808	+	752	8	133313015	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-CN-A6V3-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433780	+	752	8	133313150	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-CQ-6224-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433209	-	752	8	133313430	-	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-CR-7368-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433775	+	752	8	133313002	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-CR-7379-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433752	+	752	8	133313090	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-CR-7392-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433797	+	752	8	133313134	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-CV-A463-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433784	+	752	8	133313141	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-D6-6823-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433771	+	752	8	133313086	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-D6-8568-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433766	+	752	8	133313126	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-D6-A74Q-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433805	+	752	8	133313154	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-DQ-5624-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433782	+	752	8	133313158	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-F7-A50I-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433918	+	752	8	133313019	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-F7-A620-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433673	+	752	8	133313125	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-HD-8635-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433807	+	752	8	133313096	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-IQ-A61O-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433780	+	752	8	133313128	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-IQ-A6SH-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433742	+	752	8	133313129	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-MT-A67G-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433228	-	752	8	133313492	-	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-QK-A6IH-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433790	+	752	8	133313115	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-RS-A6TO-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433683	+	752	8	133313060	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
15	TCGA-UF-A7JF-01A	ST6GALNAC5	"ST6GALNAC5"	KCNQ3	"KCNQ3"	HNSC	26	1	77433782	+	752	8	133313047	+	0	0	3.63181608855902e-07	23	167.469624406381	114.107777912976	tier 1
16	TCGA-BA-6871-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101497468	+	752	8	133313457	-	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-BB-4217-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496947	-	752	8	133313048	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-BB-7864-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101497470	+	752	8	133313460	-	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
16	TCGA-BB-8601-01A	RP11-421L21.3	"RP11-421L21.3	(DPH5)"	KCNQ3	"KCNQ3"	HNSC	33	1	101496947	-	752	8	133313013	+	0	0	3.60502554526317e-07	26	260.48203726532	236.280297353332	tier 1
